id,product_grocery,price_grocery,expiration_date,quantity
483,Muffin - Mix - Creme Brule 15l,$3.01,10/6/2022,4
484,Wine - Chateau Aqueria Tavel,$4.06,10/13/2022,46
485,Towel Multifold,$0.95,1/15/2023,19
486,Carbonated Water - Raspberry,$1.78,10/13/2022,75
487,Juice - Happy Planet,$2.67,3/26/2023,4
488,Tofu - Soft,$7.52,12/3/2022,87
489,Oil - Grapeseed Oil,$2.59,1/18/2023,80
490,Lettuce - Boston Bib - Organic,$8.43,6/9/2023,100
491,Cakes Assorted,$1.95,12/31/2022,63
492,Wine - Chablis 2003 Champs,$6.94,3/28/2023,51
493,Knife Plastic - White,$0.06,2/9/2023,15
494,Ham Black Forest,$4.82,5/15/2023,11
495,"Syrup - Monin, Amaretta",$2.12,6/6/2023,16
496,Carrots - Jumbo,$5.47,5/31/2023,82
497,Beef - Kobe Striploin,$6.48,1/12/2023,67
498,Pasta - Orecchiette,$9.91,5/27/2023,98
499,"Plate - Foam, Bread And Butter",$5.28,5/18/2023,87
500,Tomatoes - Cherry,$3.11,12/19/2022,53
501,"Juice - Grapefruit, 341 Ml",$9.30,7/4/2023,32
502,Hinge W Undercut,$0.59,6/8/2023,19
503,"Rum - White, Gg White",$0.82,11/23/2022,82
504,Pecan Raisin - Tarts,$0.80,2/22/2023,13
505,Spice - Chili Powder Mexican,$5.96,12/10/2022,20
506,Vinegar - Sherry,$6.32,7/28/2023,30
507,Oven Mitts - 15 Inch,$0.48,8/12/2023,74
508,Sauce - Marinara,$5.80,2/27/2023,66
509,Sauce - Alfredo,$1.04,1/26/2023,65
510,Gelatine Leaves - Bulk,$7.16,6/13/2023,50
511,Carrots - Jumbo,$8.02,7/31/2023,65
512,Bag - Clear 7 Lb,$2.74,3/6/2023,69
513,Grapes - Red,$6.51,4/28/2023,76
514,Gatorade - Orange,$4.17,8/12/2023,94
515,"Soup - Campbells, Lentil",$6.83,12/4/2022,95
516,"Dill - Primerba, Paste",$8.68,5/11/2023,34
517,Chicken - Soup Base,$0.37,2/12/2023,56
518,Lettuce - Radicchio,$3.77,7/24/2023,62
519,Lemon Pepper,$4.83,6/19/2023,39
520,Bread - Italian Roll With Herbs,$1.97,4/4/2023,72
521,Star Fruit,$7.45,12/26/2022,50
522,Hot Choc Vending,$0.62,5/3/2023,37
523,Tomato - Green,$6.50,1/8/2023,15
524,Whmis Spray Bottle Graduated,$4.70,4/6/2023,51
525,"Nut - Almond, Blanched, Sliced",$9.75,12/31/2022,24
526,Apron,$1.44,10/23/2022,53
527,Bacardi Limon,$4.49,12/30/2022,51
528,Halibut - Steaks,$5.40,5/9/2023,14
529,Bread - Raisin,$8.19,2/20/2023,76
530,Tea - Apple Green Tea,$5.02,2/28/2023,50
531,Squash - Sunburst,$1.30,1/27/2023,91
532,Potato - Sweet,$0.90,8/17/2022,78
533,Sesame Seed,$7.42,3/28/2023,31
534,Eggplant Oriental,$9.20,9/9/2022,84
535,Muffin Puck Ww Carrot,$4.11,6/7/2023,56
536,Miso Paste White,$4.26,3/18/2023,58
537,Crackers - Melba Toast,$6.79,3/22/2023,59
538,Hand Towel,$4.14,1/4/2023,17
539,"Potatoes - Yukon Gold, 80 Ct",$7.89,9/23/2022,56
540,Red Pepper Paste,$4.46,6/27/2023,22
541,Rabbit - Frozen,$6.52,11/27/2022,64
542,Pork - Bacon Cooked Slcd,$5.72,10/17/2022,8
543,"Cod - Salted, Boneless",$2.10,1/8/2023,97
544,Loquat,$5.56,5/28/2023,24
545,Evaporated Milk - Skim,$0.73,6/14/2023,65
546,Higashimaru Usukuchi Soy,$1.49,4/12/2023,47
547,Pike - Frozen Fillet,$5.14,9/17/2022,55
548,Pickles - Gherkins,$0.67,2/27/2023,26
549,Broom - Push,$4.74,9/9/2022,37
550,Pepper - Sorrano,$6.74,5/10/2023,67
551,"Iced Tea - Lemon, 340ml",$2.43,2/3/2023,12
552,"Coke - Diet, 355 Ml",$3.68,2/25/2023,12
553,"Vodka - Lemon, Absolut",$7.56,7/7/2023,86
554,"Pasta - Cannelloni, Sheets, Fresh",$4.40,2/3/2023,69
555,Wine - Crozes Hermitage E.,$4.24,7/13/2023,65
556,Beef - Short Ribs,$0.79,11/4/2022,16
557,Beer - Original Organic Lager,$2.35,8/23/2022,13
558,Wine - Magnotta - Bel Paese White,$0.24,9/27/2022,87
559,Cheese Cloth,$2.56,8/28/2022,29
560,Crush - Cream Soda,$5.34,12/17/2022,16
561,"Tortillas - Flour, 10",$4.14,5/17/2023,6
562,Table Cloth 72x144 White,$6.23,12/24/2022,17
563,"Shrimp - Baby, Cold Water",$3.47,12/25/2022,45
564,Spinach - Packaged,$1.38,7/22/2023,72
565,Salad Dressing,$5.21,3/4/2023,91
566,Cheese - Colby,$5.78,7/13/2023,39
567,Wine - Magnotta - Belpaese,$1.35,7/7/2023,55
568,Coriander - Seed,$0.62,5/5/2023,22
569,Squash - Butternut,$7.63,6/10/2023,33
570,Appetizer - Smoked Salmon / Dill,$8.94,6/26/2023,3
571,Veal - Inside,$5.82,5/13/2023,65
572,Wine - Sauvignon Blanc,$1.42,1/6/2023,2
573,"Coke - Classic, 355 Ml",$7.55,4/22/2023,59
574,Cheese - Grie Des Champ,$0.35,10/5/2022,17
575,"Rosemary - Primerba, Paste",$9.63,10/3/2022,67
576,Marjoram - Fresh,$8.89,10/24/2022,30
577,"Lobster - Baby, Boiled",$0.17,7/6/2023,62
578,Beef - Sushi Flat Iron Steak,$0.70,10/14/2022,92
579,Cloves - Ground,$3.59,2/14/2023,53
580,"Bread - Roll, Canadian Dinner",$4.90,8/13/2023,80
581,"Liqueur Banana, Ramazzotti",$7.10,4/27/2023,28
582,Cheese - Brie Roitelet,$8.26,4/16/2023,38
583,Beans - French,$4.59,5/28/2023,56
584,"Jam - Strawberry, 20 Ml Jar",$7.75,9/18/2022,87
585,Filling - Mince Meat,$5.21,12/28/2022,87
586,"Pepper - Paprika, Spanish",$4.18,11/5/2022,83
587,Beef Dry Aged Tenderloin Aaa,$3.60,12/26/2022,83
588,Muffin Batt - Ban Dream Zero,$8.20,3/13/2023,90
589,Strawberries,$5.41,1/21/2023,81
590,"Crab - Dungeness, Whole, live",$8.22,3/4/2023,81
591,Ecolab - Mikroklene 4/4 L,$1.94,2/14/2023,54
592,Tamarind Paste,$0.38,7/4/2023,61
593,Sauce - Thousand Island,$9.63,9/1/2022,59
594,Sobe - Lizard Fuel,$0.24,6/1/2023,53
595,Squash - Butternut,$6.02,1/26/2023,85
596,"Salmon - Atlantic, Fresh, Whole",$0.13,1/10/2023,3
597,Lamb - Sausage Casings,$5.09,8/24/2022,51
598,Sauce - Salsa,$8.56,3/27/2023,6
599,Squid - U 5,$6.70,4/21/2023,16
600,Thyme - Fresh,$3.38,5/10/2023,14
601,"Sauce - Gravy, Au Jus, Mix",$7.54,8/23/2022,13
602,Soup - Campbells - Tomato,$6.68,3/4/2023,73
603,Apple - Custard,$8.52,10/8/2022,2
604,"Wine - Magnotta, White",$5.74,2/27/2023,85
605,Bread - Focaccia Quarter,$7.23,8/24/2022,93
606,Straw - Regular,$8.79,5/3/2023,83
607,Sauce - Vodka Blush,$0.60,12/15/2022,31
608,Pie Shells 10,$8.64,4/25/2023,44
609,Maple Syrup,$0.06,1/1/2023,84
610,Chicken - Tenderloin,$1.19,10/3/2022,54
611,Kolrabi,$1.82,3/23/2023,38
612,Nori Sea Weed,$5.98,10/3/2022,71
613,Oil - Shortening - All - Purpose,$3.49,11/18/2022,32
614,"Oranges - Navel, 72",$6.35,3/9/2023,77
615,Parasol Pick Stir Stick,$2.90,12/18/2022,47
616,Venison - Liver,$5.83,2/13/2023,27
617,Bagel - Plain,$2.41,7/18/2023,91
618,Barley - Pearl,$5.98,5/8/2023,53
619,"Beer - Alexander Kieths, Pale Ale",$9.23,9/20/2022,15
620,Shrimp - 100 / 200 Cold Water,$9.97,9/28/2022,82
621,"Sauce - Black Current, Dry Mix",$0.60,9/16/2022,20
622,"Mushroom - Enoki, Dry",$3.25,6/21/2023,94
623,Wine - Barolo Fontanafredda,$4.33,2/12/2023,96
624,"Chicken - Wings, Tip Off",$4.48,9/15/2022,98
625,"Soup - Knorr, Country Bean",$7.31,3/29/2023,72
626,Buffalo - Tenderloin,$8.49,3/6/2023,58
627,Tea - Jasmin Green,$3.96,6/8/2023,10
628,Sardines,$3.41,1/5/2023,82
629,Puree - Strawberry,$6.81,4/30/2023,95
630,Garam Marsala,$7.41,2/23/2023,49
631,Pastry - Lemon Danish - Mini,$1.13,12/1/2022,7
632,"Cherries - Bing, Canned",$7.85,3/6/2023,37
633,Pastry - Baked Scones - Mini,$5.83,11/3/2022,34
634,Beans - Kidney White,$4.98,9/23/2022,24
635,"Pepper - Paprika, Spanish",$0.51,7/27/2023,70
636,"Wine - White, Concha Y Toro",$1.73,7/18/2023,25
637,Bacon Strip Precooked,$10.00,10/23/2022,80
638,Sauce - Marinara,$0.31,12/10/2022,41
639,"Shrimp - Baby, Cold Water",$9.50,1/3/2023,54
640,Cream Of Tartar,$6.33,3/30/2023,50
641,Bread - Onion Focaccia,$4.62,11/21/2022,52
642,Lettuce - California Mix,$7.24,5/4/2023,46
643,Silicone Parch. 16.3x24.3,$0.81,9/24/2022,81
644,Chocolate Bar - Reese Pieces,$7.36,4/30/2023,96
645,Wine - Two Oceans Cabernet,$9.34,8/1/2023,33
646,Papayas,$4.46,1/2/2023,33
647,Lobster - Canned Premium,$5.11,9/7/2022,64
648,Flower - Daisies,$6.59,12/12/2022,6
649,"Tomatoes - Diced, Canned",$3.14,10/3/2022,39
650,"Beef - Ox Tongue, Pickled",$4.24,7/15/2023,10
651,"Cheese - Brie, Cups 125g",$8.99,8/23/2022,80
652,Jameson - Irish Whiskey,$5.22,8/23/2022,7
653,Beef - Shank,$0.78,1/23/2023,73
654,"Oil - Food, Lacquer Spray",$8.73,10/12/2022,80
655,Lid - 0090 Clear,$4.98,1/3/2023,89
656,Tomato Paste,$1.39,8/10/2023,39
657,Raspberries - Fresh,$6.33,7/17/2023,34
658,Yogurt - Plain,$2.51,8/23/2022,15
659,Salmon Steak - Cohoe 6 Oz,$6.35,9/5/2022,29
660,Garam Masala Powder,$6.46,12/10/2022,8
661,Puree - Raspberry,$5.67,12/1/2022,82
662,Salmon - Sockeye Raw,$3.88,7/11/2023,36
663,Lemon Pepper,$4.46,5/8/2023,32
664,"Pasta - Elbows, Macaroni, Dry",$4.84,1/24/2023,57
665,Coffee - Cafe Moreno,$9.18,2/9/2023,34
666,Rice - Aborio,$7.39,1/1/2023,1
667,Versatainer Nc - 9388,$5.85,8/16/2023,45
668,Dawn Professionl Pot And Pan,$0.04,12/6/2022,55
669,Sauce - Demi Glace,$8.93,6/30/2023,2
670,"Salmon - Atlantic, No Skin",$3.84,7/8/2023,71
671,Hagen Daza - Dk Choocolate,$3.24,3/31/2023,33
672,Cheese - Gouda,$0.44,10/1/2022,22
673,Island Oasis - Magarita Mix,$7.14,12/8/2022,25
674,Anchovy Paste - 56 G Tube,$6.82,2/26/2023,85
675,Coffee - Egg Nog Capuccino,$8.93,6/6/2023,80
676,Truffle Shells - Semi - Sweet,$6.97,8/14/2023,83
677,Sauce - Mint,$2.49,3/19/2023,38
678,Wine - Penfolds Koonuga Hill,$4.11,1/7/2023,53
679,Shallots,$5.48,5/7/2023,73
680,Wine - Mondavi Coastal Private,$7.23,7/20/2023,97
681,Amaretto,$1.35,3/31/2023,4
682,Beer - Guiness,$1.21,12/13/2022,32
683,French Pastry - Mini Chocolate,$0.05,6/8/2023,62
684,Fond - Neutral,$8.61,8/25/2022,19
685,Cookies - Englishbay Oatmeal,$8.54,4/17/2023,73
686,Appetizer - Southwestern,$1.41,3/16/2023,33
687,"Tart Shells - Sweet, 4",$3.50,1/16/2023,25
688,Beer - Original Organic Lager,$3.91,5/20/2023,30
689,Pop - Club Soda Can,$6.07,9/18/2022,4
690,"Bread - White, Sliced",$9.18,4/21/2023,28
691,Milk - Skim,$2.12,11/12/2022,95
692,Lettuce - Spring Mix,$2.32,5/30/2023,42
693,Lettuce - Escarole,$6.59,4/21/2023,6
694,Wheat - Soft Kernal Of Wheat,$9.90,6/21/2023,12
695,Snapple - Mango Maddness,$7.62,9/14/2022,96
696,Appetizer - Smoked Salmon / Dill,$1.50,8/27/2022,80
697,Bread - Frozen Basket Variety,$5.30,3/2/2023,25
698,Tuna - Loin,$4.48,10/5/2022,63
699,Raisin - Dark,$9.07,1/3/2023,8
700,Island Oasis - Lemonade,$2.10,11/19/2022,29
701,Muffin - Carrot Individual Wrap,$1.84,11/25/2022,33
702,Cream Of Tartar,$8.01,10/15/2022,28
703,Beer - True North Lager,$2.04,6/17/2023,50
704,Sunflower Seed Raw,$5.95,7/16/2023,17
705,Versatainer Nc - 9388,$3.40,5/3/2023,85
706,"Bar Mix - Pina Colada, 355 Ml",$1.90,7/13/2023,91
707,Muskox - French Rack,$0.75,12/10/2022,16
708,Pastry - Raisin Muffin - Mini,$8.04,9/14/2022,95
709,Sproutsmustard Cress,$2.91,10/25/2022,1
710,Shrimp - Black Tiger 13/15,$0.74,10/8/2022,51
711,Cake Slab,$6.73,11/26/2022,45
712,Soup Campbells Split Pea And Ham,$6.44,1/15/2023,66
713,Sauce - Thousand Island,$1.17,12/22/2022,13
714,Flour Pastry Super Fine,$2.81,12/21/2022,80
715,Garbage Bag - Clear,$7.26,5/25/2023,45
716,Ice Cream - Super Sandwich,$4.62,6/27/2023,61
717,Pork - European Side Bacon,$3.90,6/7/2023,24
718,Chicken Thigh - Bone Out,$7.44,6/13/2023,53
719,Beer - Corona,$4.06,6/19/2023,68
720,"Juice - Tomato, 48 Oz",$7.42,12/4/2022,92
721,Cocoa Butter,$4.56,11/22/2022,92
722,Wine - Malbec Trapiche Reserve,$9.85,4/26/2023,89
723,Muffin Batt - Blueberry Passion,$9.80,11/7/2022,90
724,Food Colouring - Red,$8.16,11/11/2022,40
725,Apricots Fresh,$4.45,8/18/2022,90
726,Pork - Inside,$4.16,7/25/2023,98
727,Beef - Tenderloin Tails,$1.84,3/11/2023,6
728,"Sauce - Black Current, Dry Mix",$3.63,6/5/2023,39
729,Versatainer Nc - 8288,$2.80,4/17/2023,75
730,Vacuum Bags 12x16,$7.11,5/29/2023,68
731,Pork - Belly Fresh,$2.69,3/7/2023,71
732,Soupcontfoam16oz 116con,$2.73,12/21/2022,55
733,Clam - Cherrystone,$3.94,1/31/2023,4
734,Pails With Lids,$8.05,4/26/2023,19
735,Capers - Ox Eye Daisy,$0.73,11/3/2022,10
736,Beans - Butter Lrg Lima,$4.48,7/16/2023,56
737,"Coffee - Colombian, Portioned",$7.51,12/27/2022,44
738,"Flour - Corn, Fine",$0.47,1/9/2023,58
739,Wine - Alsace Gewurztraminer,$9.64,1/7/2023,32
740,Pasta - Ravioli,$1.10,1/8/2023,97
741,"Coconut - Shredded, Unsweet",$7.90,3/3/2023,10
742,"Bread - Roll, Canadian Dinner",$2.75,12/21/2022,85
743,Longos - Penne With Pesto,$5.81,10/22/2022,66
744,Heavy Duty Dust Pan,$0.67,9/19/2022,26
745,Beef Ground Medium,$3.69,3/16/2023,69
746,Bar Mix - Lime,$4.92,4/19/2023,40
747,Ice Cream Bar - Drumstick,$6.52,2/6/2023,41
748,Wine - Masi Valpolocell,$3.57,8/27/2022,2
749,Wine - Casillero Deldiablo,$9.81,11/6/2022,54
750,Table Cloth 62x120 White,$5.30,3/29/2023,66
751,Cream - 10%,$9.62,8/11/2023,34
752,Bread - Italian Corn Meal Poly,$4.70,6/26/2023,60
753,"Bread - Crumbs, Bulk",$3.86,6/17/2023,90
754,Cheese - Blue,$5.42,8/7/2023,49
755,Container Clear 8 Oz,$7.47,2/15/2023,29
756,Crackers - Soda / Saltins,$8.03,7/2/2023,40
757,Bacon Strip Precooked,$9.45,6/18/2023,22
758,Tea - Camomele,$9.96,5/17/2023,29
759,Tomatoes Tear Drop,$3.94,5/30/2023,58
760,Whmis Spray Bottle Graduated,$4.85,10/25/2022,74
761,Shrimp - Prawn,$4.69,3/30/2023,16
762,Clam - Cherrystone,$0.10,11/19/2022,99
763,Chicken - Bones,$7.15,3/17/2023,85
764,Cookie Dough - Chunky,$7.25,11/24/2022,6
765,Tea - Green,$6.70,1/20/2023,34
766,Lettuce - Escarole,$3.39,9/26/2022,18
767,"Soup - Beef, Base Mix",$6.44,10/22/2022,58
768,Lobster - Canned Premium,$7.10,11/4/2022,25
769,"Crab - Dungeness, Whole, live",$5.08,7/27/2023,80
770,Butter Balls Salted,$0.74,8/17/2022,66
771,"Tea - Darjeeling, Azzura",$5.43,7/17/2023,33
772,Sambuca - Opal Nera,$9.77,5/5/2023,72
773,Island Oasis - Cappucino Mix,$9.93,6/26/2023,29
774,Daikon Radish,$5.69,9/25/2022,92
775,Pepper - Chilli Seeds Mild,$1.67,4/24/2023,47
776,"Beans - Navy, Dry",$4.01,4/11/2023,1
777,Cheese - Le Cheve Noir,$1.73,3/14/2023,24
778,"Liners - Banana, Paper",$5.03,1/11/2023,84
779,Toothpick Frilled,$7.86,2/5/2023,56
780,Potatoes - Peeled,$5.85,7/3/2023,42
781,Sauce - Rosee,$0.12,1/5/2023,64
782,Pastry - Banana Tea Loaf,$5.96,4/14/2023,94
783,Juice - Ocean Spray Cranberry,$0.48,7/3/2023,64
784,Soupcontfoam16oz 116con,$2.39,7/14/2023,67
785,"Oil - Truffle, White",$6.49,6/8/2023,17
786,Pears - Bosc,$9.68,5/9/2023,8
787,Parsnip,$6.72,1/3/2023,38
788,"Beef - Bones, Cut - Up",$3.41,10/14/2022,26
789,"Beef - Ox Tongue, Pickled",$7.70,8/19/2022,99
790,"Juice - Grape, White",$1.28,1/26/2023,22
791,Tomatoes Tear Drop,$6.78,1/13/2023,64
792,Soup - Campbells Beef Strogonoff,$8.02,4/21/2023,99
793,"Soup - Knorr, Chicken Gumbo",$2.40,1/14/2023,17
794,Yoghurt Tubes,$0.66,6/22/2023,66
795,Boogies,$3.67,4/21/2023,66
796,Soupcontfoam16oz 116con,$6.41,12/29/2022,46
797,Bagelers - Cinn / Brown,$7.39,10/24/2022,23
798,Rice - Wild,$3.30,6/4/2023,29
799,Grapes - Black,$9.82,1/26/2023,33
800,Sobe - Orange Carrot,$4.43,6/26/2023,31
801,Quail - Jumbo,$3.72,1/18/2023,56
802,Chef Hat 20cm,$6.82,1/18/2023,87
803,Soup - Campbells Chili Veg,$1.50,11/7/2022,25
804,Crackers - Soda / Saltins,$6.21,11/19/2022,57
805,"Cherries - Maraschino,jar",$7.20,10/14/2022,99
806,External Supplier,$4.94,12/18/2022,49
807,Towel Multifold,$1.98,1/20/2023,9
808,Long Island Ice Tea,$4.50,1/21/2023,60
809,Chocolate - Dark,$7.28,9/2/2022,45
810,Wine - Rioja Campo Viejo,$2.09,10/14/2022,93
811,Cake - Cake Sheet Macaroon,$7.46,1/1/2023,70
812,"Sugar - Brown, Individual",$2.04,11/29/2022,44
813,Beans - Butter Lrg Lima,$1.58,7/1/2023,29
814,Sugar - Individual Portions,$4.52,1/10/2023,6
815,Muffin Batt - Carrot Spice,$6.29,7/19/2023,8
816,Sprouts - Brussel,$3.50,7/27/2023,94
817,Turnip - White,$7.89,8/13/2023,39
818,Glaze - Clear,$4.09,4/11/2023,69
819,"Wine - Red, Black Opal Shiraz",$2.80,4/23/2023,96
820,Urban Zen Drinks,$9.30,10/22/2022,48
821,Tomatoes - Orange,$0.15,5/5/2023,45
822,Bread - Flat Bread,$6.38,9/13/2022,51
823,"Wine - Red, Gamay Noir",$8.40,7/27/2023,9
824,"Doilies - 8, Paper",$9.39,10/9/2022,80
825,"Cheese - Cheddar, Old White",$3.28,6/20/2023,69
826,"Bread - Pullman, Sliced",$7.37,2/26/2023,2
827,"Artichoke - Hearts, Canned",$2.98,11/19/2022,36
828,Wine - Masi Valpolocell,$1.06,10/26/2022,50
829,Bagel - Everything Presliced,$0.99,3/1/2023,93
830,Sausage - Andouille,$3.53,11/18/2022,77
831,Bar - Sweet And Salty Chocolate,$0.49,11/7/2022,73
832,"Sauce - Bernaise, Mix",$0.47,2/16/2023,85
833,Soap - Hand Soap,$5.80,4/3/2023,95
834,Pastry - Baked Cinnamon Stick,$2.49,3/27/2023,11
835,Jolt Cola,$6.80,8/25/2022,27
836,Appetizer - Chicken Satay,$7.72,5/5/2023,58
837,"Vodka - Lemon, Absolut",$1.18,4/10/2023,97
838,"Pasta - Fettuccine, Dry",$5.92,10/2/2022,48
839,Flour - Strong,$0.76,7/10/2023,98
840,Snapple Lemon Tea,$9.65,4/6/2023,91
841,Juice - Ocean Spray Cranberry,$4.24,1/28/2023,79
842,Skewers - Bamboo,$2.84,7/2/2023,89
843,Salami - Genova,$5.58,3/16/2023,56
844,"Tray - Foam, Square 4 - S",$5.95,8/24/2022,97
845,Bag Clear 10 Lb,$0.41,6/12/2023,61
846,Sauce - Ranch Dressing,$9.65,9/30/2022,87
847,Creme De Menth - White,$3.23,12/31/2022,99
848,Basil - Seedlings Cookstown,$7.75,12/6/2022,54
849,Wine - Cousino Macul Antiguas,$5.79,12/6/2022,21
850,Onions - Red Pearl,$2.50,8/19/2022,13
851,Sauce - Fish 25 Ozf Bottle,$5.24,3/16/2023,87
852,Lotus Leaves,$2.36,5/12/2023,62
853,Dried Figs,$0.52,4/30/2023,71
854,Milk - Buttermilk,$8.97,12/23/2022,84
855,Lime Cordial - Roses,$4.30,11/14/2022,65
856,Oranges,$7.03,6/2/2023,68
857,Basil - Pesto Sauce,$9.60,2/23/2023,18
858,Ecolab Silver Fusion,$6.85,4/24/2023,31
859,"Pork - Loin, Bone - In",$7.79,5/25/2023,66
860,Puree - Blackcurrant,$6.02,5/24/2023,11
861,The Pop Shoppe - Black Cherry,$1.19,3/14/2023,54
862,Wine - Rioja Campo Viejo,$5.99,7/29/2023,69
863,Sausage - Andouille,$0.07,6/10/2023,32
864,Sprouts - Baby Pea Tendrils,$8.50,8/1/2023,53
865,Greens Mustard,$1.89,5/20/2023,4
866,Flour - Fast / Rapid,$6.22,6/18/2023,35
867,Pizza Pizza Dough,$3.47,4/12/2023,97
868,"Wine - White, Lindemans Bin 95",$5.75,12/8/2022,64
869,Wine - Piper Heidsieck Brut,$2.58,1/25/2023,32
870,Lid - 16 Oz And 32 Oz,$3.66,7/7/2023,45
871,Beef Ground Medium,$7.16,11/21/2022,8
872,Tarts Assorted,$3.90,12/20/2022,100
873,Allspice - Jamaican,$3.26,12/12/2022,37
874,Apple - Granny Smith,$1.46,8/30/2022,38
875,"Onions - Dried, Chopped",$2.15,2/7/2023,52
876,Bread Ww Cluster,$4.63,3/9/2023,23
877,Tuna - Loin,$8.64,7/14/2023,93
878,Pants Custom Dry Clean,$9.84,9/22/2022,18
879,Lettuce - Curly Endive,$2.52,8/21/2022,7
880,Arizona - Plum Green Tea,$9.71,5/2/2023,60
881,"Cake Circle, Paprus",$7.33,6/16/2023,64
882,Pepper - Pablano,$3.67,4/12/2023,41
883,Sugar - Individual Portions,$4.66,10/4/2022,73
884,Fennel - Seeds,$9.50,7/29/2023,1
885,"Wine - Red, Cabernet Sauvignon",$7.14,4/9/2023,94
886,"Hickory Smoke, Liquid",$4.62,8/2/2023,90
887,Beer - Moosehead,$9.07,4/28/2023,55
888,"Pepper - Julienne, Frozen",$1.21,2/28/2023,77
889,"Seedlings - Mix, Organic",$7.61,10/17/2022,95
890,Soup - Tomato Mush. Florentine,$3.61,10/19/2022,99
891,Appetizer - Tarragon Chicken,$8.73,8/24/2022,41
892,"Chilli Paste, Ginger Garlic",$5.33,1/26/2023,45
893,Cheese Cloth No 60,$5.54,3/22/2023,46
894,"Stock - Beef, Brown",$1.51,4/19/2023,64
895,Ice Cream - Life Savers,$1.63,10/14/2022,12
896,Lamb - Bones,$5.84,6/30/2023,58
897,Mayonnaise,$8.13,5/5/2023,34
898,Tumeric,$4.29,4/10/2023,72
899,Sambuca - Ramazzotti,$8.91,10/8/2022,36
900,"Soup - Knorr, French Onion",$6.54,5/19/2023,6
901,Salmon Steak - Cohoe 8 Oz,$9.49,9/22/2022,52
902,Flour - Semolina,$9.39,1/5/2023,76
903,Papayas,$9.66,12/3/2022,85
904,"Chicken - Thigh, Bone In",$6.95,10/18/2022,82
905,Sping Loaded Cup Dispenser,$9.70,5/4/2023,57
906,Coffee - Hazelnut Cream,$8.97,7/21/2023,19
907,Plastic Wrap,$3.68,2/26/2023,80
908,Parsley - Dried,$7.52,8/27/2022,19
909,"Pork - Ham, Virginia",$3.50,3/8/2023,56
910,"Butter - Salted, Micro",$4.39,9/7/2022,21
911,"Stock - Beef, Brown",$4.98,9/28/2022,97
912,Eggwhite Frozen,$2.65,3/11/2023,25
913,Potatoes - Peeled,$2.52,3/2/2023,13
914,Yeast Dry - Fleischman,$4.72,8/28/2022,79
915,Rappini - Andy Boy,$1.32,6/13/2023,89
916,Wine - Rhine Riesling Wolf Blass,$7.57,1/5/2023,19
917,Sword Pick Asst,$8.53,1/21/2023,35
918,Fork - Plastic,$8.04,10/2/2022,16
919,Pastry - Lemon Danish - Mini,$2.92,9/27/2022,83
920,Paper - Brown Paper Mini Cups,$9.41,2/9/2023,31
921,Coriander - Seed,$5.85,3/17/2023,7
922,Wine - Trimbach Pinot Blanc,$5.96,7/29/2023,74
923,Madeira,$3.14,8/13/2023,55
924,Tequila Rose Cream Liquor,$2.91,2/16/2023,75
925,Bread - Assorted Rolls,$4.76,12/19/2022,97
926,Capicola - Hot,$8.07,11/12/2022,77
927,Muffin Batt - Carrot Spice,$3.04,12/11/2022,83
928,Beer - Moosehead,$5.72,10/23/2022,100
929,Tea - Green,$7.79,6/21/2023,7
930,"Leeks - Baby, White",$1.29,1/8/2023,62
931,Table Cloth 72x144 White,$0.96,5/6/2023,83
932,"Nestea - Ice Tea, Diet",$4.12,7/26/2023,98
933,Spaghetti Squash,$4.61,2/23/2023,4
934,Quail - Jumbo Boneless,$6.76,5/4/2023,75
935,"Soup - Beef, Base Mix",$0.60,8/12/2023,59
936,Towel - Roll White,$9.35,3/13/2023,45
937,Spring Roll Wrappers,$9.25,4/26/2023,4
938,Aspic - Amber,$7.24,5/2/2023,15
939,Propel Sport Drink,$9.19,7/30/2023,45
940,Ham - Virginia,$5.86,11/14/2022,4
941,Puree - Kiwi,$8.66,2/3/2023,99
942,Bread Roll Foccacia,$8.88,10/2/2022,22
943,Cauliflower,$9.99,4/16/2023,53
944,Pineapple - Regular,$5.20,7/12/2023,62
945,Icecream - Dstk Cml And Fdg,$1.38,7/21/2023,52
946,Beef - Top Butt Aaa,$1.17,6/10/2023,51
947,Oil - Coconut,$4.25,3/23/2023,77
948,Mayonnaise,$9.38,1/2/2023,36
949,"Shrimp - 21/25, Peel And Deviened",$9.19,9/7/2022,90
950,Beer - Muskoka Cream Ale,$7.55,8/6/2023,50
951,Dried Peach,$2.22,3/7/2023,61
952,Tarragon - Fresh,$0.47,8/1/2023,88
953,White Fish - Filets,$0.31,1/20/2023,60
954,Campari,$7.72,11/21/2022,31
955,Wine - Casillero Del Diablo,$1.93,10/22/2022,20
956,Wine - Casablanca Valley,$1.85,5/29/2023,48
957,Honey - Liquid,$8.16,11/8/2022,40
958,Pork - Suckling Pig,$0.35,9/14/2022,36
959,Pecan Raisin - Tarts,$3.72,4/29/2023,82
960,Cabbage - Red,$7.67,12/10/2022,60
961,"7up Diet, 355 Ml",$4.28,1/4/2023,5
962,Bread - Multigrain,$2.03,5/9/2023,41
963,Bread - Raisin Walnut Pull,$4.86,5/28/2023,19
964,Chinese Lemon Pork,$7.04,3/23/2023,12
965,Chocolate - Dark Callets,$9.97,11/4/2022,56
966,Wine - Fino Tio Pepe Gonzalez,$7.18,5/21/2023,23
